state,year,ekey,next_ekey,ac,AC_TYPE,party,cand,share,margin,won,party_wins_next,cand_wins_next,ran_again
Jharkhand,2005,2005.06,2009.06,JAMSHEDPUR WEST,GEN,SP,BANNA GUPTA,0.23649932249783812,-0.08644110497538521,0,0,1,1
Jharkhand,2005,2005.06,2009.06,ICHAGARH,GEN,JMM,SUDHIR MAHTO,0.42197347098013327,0.0831132585078927,1,0,0,0
Jharkhand,2005,2005.06,2009.06,ICHAGARH,GEN,BJP,ARVIND KUMAR SINGH,0.3388602124722406,-0.0831132585078927,0,0,1,1
Jharkhand,2005,2005.06,2009.06,SERAIKELLA,ST,JMM,CHAMPAI SOREN,0.40810711542956357,0.005890013022137597,1,1,1,1
Jharkhand,2005,2005.06,2009.06,SERAIKELLA,ST,BJP,LAKXHMAN TUDU,0.402217102407426,-0.005890013022137597,0,0,0,0
Jharkhand,2005,2005.06,2009.06,CHAIBASA,ST,BJP,PUTKAR HEMBROM,0.2533522058108502,0.05472658318116497,1,0,0,0
Jharkhand,2005,2005.06,2009.06,CHAIBASA,ST,IND,DEEPAK BIRUA,0.19862562262968525,-0.05472658318116497,0,0,1,1
Jharkhand,2005,2005.06,2009.06,JAGANATHPUR,ST,IND,MADHU KODAH,0.36743118012082776,0.20211311883218064,1,0,0,0
Jharkhand,2005,2005.06,2009.06,JAGANATHPUR,ST,INC,MANGAL SINGH SINKU,0.16531806128864712,-0.20211311883218064,0,0,0,0
Jharkhand,2005,2005.06,2009.06,MANOHARPUR,ST,UGDP,JOBA MAJHI,0.3067997162016799,0.01827523859657154,1,0,0,1
Jharkhand,2005,2005.06,2009.06,MANOHARPUR,ST,BJP,GURU CHARAN NAYAK,0.28852447760510835,-0.01827523859657154,0,1,1,1
Jharkhand,2005,2005.06,2009.06,CHAKRADHARPUR,ST,JMM,SUKHRAM ORAON,0.5007186145112223,0.23920281696888396,1,0,0,1
Jharkhand,2005,2005.06,2009.06,CHAKRADHARPUR,ST,BJP,LAXMAN GILUA,0.2615157975423384,-0.23920281696888396,0,1,0,0
Jharkhand,2005,2005.06,2009.06,KHARASAWAN,ST,BJP,ARJUN MUNDA,0.6842774545321477,0.5063124382478867,1,1,0,0
Jharkhand,2005,2005.06,2009.06,KHARASAWAN,ST,INC,KUNTI SOY,0.17796501628426098,-0.5063124382478867,0,0,0,0
Jharkhand,2005,2005.06,2009.06,TAMAR,ST,JD(U),RAMESH SINGH MUNDA,0.25527926021347075,0.06785977180714023,1,1,0,0
Jharkhand,2005,2005.06,2009.06,TAMAR,ST,IND,GOPAL KRISHNA PATAR,0.18741948840633052,-0.06785977180714023,0,0,1,1
Jharkhand,2005,2005.06,2009.06,TOKPA,ST,BJP,KOCHE MUNDA,0.3525781478235466,0.0989872431590223,1,0,0,1
Jharkhand,2005,2005.06,2009.06,TOKPA,ST,JKP,NIRAL ENEM HORO,0.2535909046645243,-0.0989872431590223,0,0,0,0
Jharkhand,2005,2005.06,2009.06,KHUNTI,ST,BJP,NILKANTH SINGH MUNDA,0.45821658323626024,0.16476193474587836,1,1,1,1
Jharkhand,2005,2005.06,2009.06,KHUNTI,ST,INC,ROSHAN KUMAR SURIN,0.2934546484903819,-0.16476193474587836,0,0,0,1
Jharkhand,2005,2005.06,2009.06,SILLI,GEN,AJSU,SUDESH KUMAR MAHTO,0.3668755662236502,0.18036966815791688,1,0,1,1
Jharkhand,2005,2005.06,2009.06,SILLI,GEN,JMM,AMIT KUMAR,0.1865058980657333,-0.18036966815791688,0,0,0,1
Jharkhand,2005,2005.06,2009.06,KHIJRI,ST,BJP,KARIA MUNDA,0.3135610512569376,0.017874632713026417,1,0,0,0
Jharkhand,2005,2005.06,2009.06,KHIJRI,ST,INC,SAWNA LAKRA,0.2956864185439112,-0.017874632713026417,0,1,1,1
Jharkhand,2005,2005.06,2009.06,RANCHI,GEN,BJP,CHANDRESHWAR PRASAD,0.515777845709204,0.18146954201867493,1,1,1,1
Jharkhand,2005,2005.06,2009.06,RANCHI,GEN,INC,GOPAL PRASAD SAHU,0.3343083036905291,-0.18146954201867493,0,0,0,0
Jharkhand,2005,2005.06,2009.06,HATIA,GEN,INC,GOPAL S N SHAHDEO,0.27800792344289876,0.03139830074108915,1,1,1,1
Jharkhand,2005,2005.06,2009.06,HATIA,GEN,BJP,KRISHNA KUMAR PODDAR,0.2466096227018096,-0.03139830074108915,0,0,0,0
Jharkhand,2005,2005.06,2009.06,KANKE,SC,BJP,RAM CHANDER BAITHA,0.4072629508717793,0.09971989166495604,1,1,0,0
Jharkhand,2005,2005.06,2009.06,KANKE,SC,JMM,SAMARI LAL,0.30754305920682323,-0.09971989166495604,0,0,0,0
Jharkhand,2005,2005.06,2009.06,MANDAR,ST,UGDP,BANDHU TIRKEY,0.40360122655637165,0.1442772587891321,1,0,1,1
Jharkhand,2005,2005.06,2009.06,MANDAR,ST,INC,DEO KUMAR DHAN,0.25932396776723954,-0.1442772587891321,0,0,0,1
Jharkhand,2005,2005.06,2009.06,SISAI,ST,BJP,SRI SAMIR ORAON,0.3338993139924081,0.0062745786859490504,1,0,0,0
Jharkhand,2005,2005.06,2009.06,SISAI,ST,INC,SRI SHASHI KANT BHAGAT,0.327624735306459,-0.0062745786859490504,0,1,0,0
Jharkhand,2005,2005.06,2009.06,GUMLA,ST,JMM,BHUSHAN TIRKEY,0.38677132436064243,0.0092677516370539,1,0,0,1
Jharkhand,2005,2005.06,2009.06,GUMLA,ST,BJP,SUDARSHAN BHAGAT,0.37750357272358853,-0.0092677516370539,0,1,0,0
Jharkhand,2005,2005.06,2009.06,BISHUNPUR,ST,BJP,CHANDRESH ORAON,0.24825390938871378,0.005861507715763242,1,0,0,0
Jharkhand,2005,2005.06,2009.06,BISHUNPUR,ST,IND,CHAMRA LINDA,0.24239240167295054,-0.005861507715763242,0,0,1,1
Jharkhand,2005,2005.06,2009.06,SIMDEGA,ST,INC,NEIL TIRKEY,0.41016066000868434,0.07912288319583155,1,0,0,1
Jharkhand,2005,2005.06,2009.06,SIMDEGA,ST,BJP,NIRMAL KUMAR BESRA,0.3310377768128528,-0.07912288319583155,0,1,0,0
Jharkhand,2005,2005.06,2009.06,KOLEBIRA,ST,JKP,ENOS EKKA,0.34356626360216624,0.04322438153635144,1,1,0,0
Jharkhand,2005,2005.06,2009.06,KOLEBIRA,ST,INC,THEODORE KIRO,0.3003418820658148,-0.04322438153635144,0,0,0,0
Jharkhand,2005,2005.06,2009.06,LOHARDAGA,ST,INC,SUKHDEO BHAGAT,0.3280320698343121,0.06350276770912361,1,0,0,1
Jharkhand,2005,2005.06,2009.06,LOHARDAGA,ST,BJP,SADHNU BHAGAT,0.2645293021251885,-0.06350276770912361,0,0,0,1
Jharkhand,2005,2005.06,2009.06,MANIKA,ST,RJD,RAMCHANDRA SINGH,0.3138417744039853,0.11722215632783775,1,0,0,1
Jharkhand,2005,2005.06,2009.06,MANIKA,ST,JMM,DR DEEPAK ORAON,0.19661961807614756,-0.11722215632783775,0,0,0,0
Jharkhand,2005,2005.06,2009.06,LATEHAR,SC,RJD,PRAKASH RAM,0.269019641478686,0.07716499413900565,1,0,0,1
Jharkhand,2005,2005.06,2009.06,LATEHAR,SC,JMM,RAMDEV GANJHU,0.19185464733968036,-0.07716499413900565,0,0,0,0
Jharkhand,2005,2005.06,2009.06,PANKI,GEN,RJD,BIDESH SINGH,0.39740016867734956,0.18721352352315646,1,0,1,1
Jharkhand,2005,2005.06,2009.06,PANKI,GEN,CPI(ML)(L),VISHWANATH SINGH,0.2101866451541931,-0.18721352352315646,0,0,0,0
Jharkhand,2005,2005.06,2009.06,DALTONGANJ,GEN,JD(U),INDAR SINGH NAMDHARI,0.3167665882648539,0.026249485269997708,1,0,0,0
Jharkhand,2005,2005.06,2009.06,DALTONGANJ,GEN,IND,ANIL KUMAR CHAURASIA,0.29051710299485617,-0.026249485269997708,0,0,0,0
Jharkhand,2005,2005.06,2009.06,BISHRAMPUR,GEN,RJD,RAMCHANDRA,0.3201745060518006,0.14656618394008836,1,0,0,1
Jharkhand,2005,2005.06,2009.06,BISHRAMPUR,GEN,INC,AJAY KUMAR DUBEY,0.17360832211171223,-0.14656618394008836,0,1,0,0
